symbol,name,company_id
ECILC,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,4028e4a1415f4d99014160034b683108
ECOGR,ECOGREEN ENERJİ HOLDİNG A.Ş.,8acae2c5991b90af019975bc2a6c244d
ECZIP,EİP ECZACIBAŞI İLAÇ PAZARLAMA A.Ş.,4028e4a2462cc71d014694521292040f
ECZYT,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,4028e4a1415f4d9901416012a278321f
EDATA,E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,8acae2c47902e75101792325d43f2419
EDIP,EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,4028e4a240e95dc90140ecc568850014
EFOR,EFOR YATIRIM SANAYİ TİCARET A.Ş.,8acae2c5819d0efb0182923c4c307fbf
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,1DE05DAA8254073AE0530A4A622A2EBD
EGEGY,EGEYAPI AVRUPA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c59145e00e019406e89bc4222c
EGEPO,NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,8acae2c4794d3648017a9fceecca0bad
EGGUB,EGE GÜBRE SANAYİİ A.Ş.,4028e4a2422d9a78014304d729e3673d
EGPRO,EGE PROFİL TİCARET VE SANAYİ A.Ş.,4028e4a240f2ef4701413a5c97b805ea
EGSER,EGE SERAMİK SANAYİ VE TİCARET A.Ş.,4028e4a1415f4d9b01415ff0ece83aa8
EKER,EKER SÜT ÜRÜNLERİ GIDA SANAYİ VE TİCARET A.Ş.,1af4bb0512df41c599b6ff93a4468ac5
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a2422d9a780142513cda5b232e
